term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
pagare,True,pagare,to pay,verb,to pay,"core,money",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; used with auxiliary avere,Devo pagare la bolletta.,I must pay the bill.,945ad1691783ea5fb63aefa2aed9bb129e4c4e41bc3a9fb26f87af3de13db73b,1128.0,8ff55867a6d44b74ca346d49235fce713fba57d9ce20765b0ecb29681986089f,1344.0
pagando,False,pagare,to pay,verb,taking,"core,money",,,,,gerund,,False,False,False,,,,,gerund form,Sto pagando con la carta.,I am paying with the card.,91ec51e5d046e4fa55f9ceaa90e2551258ea14dabfa4bdf52352aa65d0d091aa,1080.0,f51db22d45d4c8f22524e20f1366a0c67d2168ef5bf84031c6c12a63b061f39c,1464.0
pagato,False,pagare,to pay,verb,paid,"core,money",,,masculine,singular,participle,past,False,False,False,,,,,"past participle, regular",Il conto è pagato.,The bill is paid.,1f950ed20c5778585cebed8241aec5938eb8428bd0f780f610cb085cfa692dab,1032.0,ed15b2a5039d35ed38447817bc4c1c35217b3bf089b8bbc6a85e72153526c86f,1416.0
pagata,False,pagare,to pay,verb,paid,"core,money",,,feminine,singular,participle,past,False,False,False,,,,,"past participle, regular",La somma è pagata.,The amount is paid.,1f950ed20c5778585cebed8241aec5938eb8428bd0f780f610cb085cfa692dab,1032.0,18e406bade2504aa8abfce52f629f5022009df4580e3f33b9be4200fb06f087f,1392.0
pagati,False,pagare,to pay,verb,paid,"core,money",,,masculine,plural,participle,past,False,False,False,,,,,"past participle, regular",I conti sono pagati.,The bills are paid.,1f950ed20c5778585cebed8241aec5938eb8428bd0f780f610cb085cfa692dab,1032.0,ae4a6c50aae824efa60220767c82a6aecd2c36bada93c589ec608ffb51eb2a2b,1392.0
pagate,False,pagare,to pay,verb,paid,"core,money",,,feminine,plural,participle,past,False,False,False,,,,,"past participle, regular",Le fatture sono pagate.,The invoices are paid.,1f950ed20c5778585cebed8241aec5938eb8428bd0f780f610cb085cfa692dab,1032.0,2e8f1ac2f1928abc780011b23680e208333e4455b37a87c908e4e6336c11a022,1368.0
pago,False,pagare,to pay,verb,I pay,"core,money",,1s,,singular,indicative,present,False,False,False,,,,,,Pago in contanti.,I pay in cash.,3e0db6cd48be4fa02d28944025e41c97a70454559c898cadc5079cae86f85380,1128.0,da72ab4848eced051c9ff90f2f87f7b289c525089d91772b4c04e74cc39865ae,1224.0
paghi,False,pagare,to pay,verb,you pay,"core,money",,2s,,singular,indicative,present,False,False,False,,,,,,Tu paghi adesso.,You pay now.,0dcc9f148486e6ab98e47d8f1fef32bed242509a910ea6c36689a51df5db78d9,1152.0,2378bb8daef5c1b9e82cebacc6b2c36bbc6707e2018ee276ead45befbc7eaed8,1200.0
paga,False,pagare,to pay,verb,he pays/she pays/you (formal) pay,"core,money",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei paga per tutti.,You (formal) pay for everyone.,cd1e17c99760d8accce03750b09ac96c6788e7ca0d26ff6225cdec8f85b8c3cf,4440.0,b16205bfde66a3c323fd12dedcb10d9e16939c882287bf04f70cb53e1831ac54,1224.0
paghiamo,False,pagare,to pay,verb,we pay,"core,money",,1p,,plural,indicative,present,False,False,False,,,,,,Paghiamo la cena insieme.,We pay the bill together.,8e427d6b9825154ab425972e1c052aff9e8d73f21f57f51f120454f696233286,1176.0,f420ecdb51c38948fdb376033c7ebda693769276cff796266e792d203d3a725c,1440.0
