term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
atterrire,True,atterrire,to terrify,verb,to terrify,"emotion,action",,,,,non-finite,infinitive,False,False,False,,,,,transitive; takes auxiliary avere; -isc- in present,Non voglio atterrire nessuno.,I do not want to terrify anyone.,6b24c06670f4060324ad89654f6ea2f36f024dfe023470be1ffe7fcb7c923b5e,03caf5963008304f70756d3292b0f5a36569ba079aa1f1a415938e6eb0ac204b,1440.0,1560.0
atterrendo,False,atterrire,to terrify,verb,terrifying,"emotion,action",,,,,gerund,,False,False,False,,,,,gerund form,Sta atterrendo i bambini.,He is terrifying the children.,100d33b1aba58b04d487b942bdb872073829ca253e1e824b571ae96ccdc8d971,bac49f4ffbbd67b49a6fa70bb6e77dee132a44acf98e2750c0ac12472075eafa,1416.0,1656.0
atterrito,False,atterrire,to terrify,verb,terrified,"emotion,action",,,masculine,singular,participle,past,False,False,False,,,,,past participle masculine singular,L'ho atterrito.,I have terrified him.,7616fbcbf92b42bf686284738952547f4e61e0d242ce0bc0949e49e0d5216015,5dd57329442cd1b99a90f8f4a6f086e845cbd75f0736a4a05ac156db77eafe2d,1320.0,1608.0
atterrita,False,atterrire,to terrify,verb,terrified,"emotion,action",,,feminine,singular,participle,past,False,False,False,,,,,past participle feminine singular,L'ho atterrita.,I have terrified her.,8c898fb80359d9ac9e72e9f13a17cc20c23067b96429b17cd74785af357d4830,5dd57329442cd1b99a90f8f4a6f086e845cbd75f0736a4a05ac156db77eafe2d,1320.0,1584.0
atterriti,False,atterrire,to terrify,verb,terrified,"emotion,action",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,Li ho atterriti.,I have terrified them.,e9962bd0b392955794bf2980d718c10bf3b0eb551fdf0e7f1e84bf249258bae0,5dd57329442cd1b99a90f8f4a6f086e845cbd75f0736a4a05ac156db77eafe2d,1320.0,1608.0
atterrite,False,atterrire,to terrify,verb,terrified,"emotion,action",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le ho atterrite.,I have terrified them (feminine).,1faa2bee45ca12bed234e403678f3e1961ee311f7aa5ec4f00da088fea98aba8,5dd57329442cd1b99a90f8f4a6f086e845cbd75f0736a4a05ac156db77eafe2d,1320.0,1584.0
atterrisco,False,atterrire,to terrify,verb,I terrify,"emotion,action",,1s,,singular,indicative,present,False,False,False,,,,,,Io atterrisco il nemico.,I terrify the enemy.,714dd030fc7710e2570cffaa62250f0e37c809bbea5696e7c21ab9fce9b7b837,00f0f7438d3a3aafc56a61c6f943372f4369dae85391b4c0dbf6e595d7708cfc,1440.0,1728.0
atterrisci,False,atterrire,to terrify,verb,you terrify,"emotion,action",,2s,,singular,indicative,present,False,False,False,,,,,,Tu atterrisci i tuoi rivali.,You terrify your rivals.,9af6ac3bf14e324c10ff6b307a99a2c3cfd288315799ea6cb8cbd5bd3ee9b31d,f4ce4db133ae98926d2c80074006ec705bb2de07ba31157c86a1e74941c8120c,1488.0,1680.0
atterrisce,False,atterrire,to terrify,verb,he terrifies/she terrifies/you (formal) terrify,"emotion,action",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,La notizia atterrisce tutti.,The news terrifies everyone.,1b0f143dfc13fab0059f909342a8127704d37676eaeb86774f8c7d8961e4f21e,0988475a00a62039856949baa3350ffab179683f01ea5a195e400be154dd4c62,5352.0,1656.0
atterriamo,False,atterrire,to terrify,verb,we terrify,"emotion,action",,1p,,plural,indicative,present,False,False,False,,,,,,Noi atterriamo i nostri avversari.,We terrify our opponents.,ac13933ec578fc6313ccb2c07f810e2ec1eaf1e3148457f0b2bd55f84b8efd96,769f6323d1fad59a6b69a1b1ff5fcb2f6da6f37500b98ea4766674843d2f1852,1488.0,1632.0
