term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
ricompensare,True,ricompensare,to reward,verb,to reward,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb,Voglio ricompensare il tuo aiuto.,I want to reward your help.,5c6664cb171675f28b6993eb5e1a62b33229e5a99d0249858773063bce268261,2b50e226b1daaa02d6d8c9424d9f7b308322e78523051611b9b1340dd51e9688
ricompensando,False,ricompensare,to reward,verb,rewarding,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto ricompensando i volontari.,I am rewarding the volunteers.,5d942ad09cb1fe98d4cd4c4f5338aa5fd47175e87c505e2d711227c54bbb0fb0,57c5c8c8de2445b7942f9aa6030270f80fce8a27d4e3225d8897e3669308a8e2
ricompensato,False,ricompensare,to reward,verb,rewarded,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; masculine singular,L'ho ricompensato.,I rewarded him.,74347d1d5f18f924524dd302f83897f57441a3222520c5a7da85ce9319b8b8bf,5c97e3239bdb1e465bb4a349726374f14eb7eaee0a5e4d3f162e430d05ec9864
ricompensata,False,ricompensare,to reward,verb,rewarded,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,L'ho ricompensata.,I rewarded her.,5a8bdb3441dbafc1e8e0c572ba7a744509116bf1f24d427024c0bfd2b3c969f0,5c97e3239bdb1e465bb4a349726374f14eb7eaee0a5e4d3f162e430d05ec9864
ricompensati,False,ricompensare,to reward,verb,rewarded,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Li ho ricompensati.,I rewarded them.,e6cb465a80be0a71198fe9a5faf8bc91b1f42ed1e34ca6324dd52a42bc22733d,5c97e3239bdb1e465bb4a349726374f14eb7eaee0a5e4d3f162e430d05ec9864
ricompensate,False,ricompensare,to reward,verb,rewarded,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le ho ricompensate.,I rewarded them.,32d2e05fe3234dd426ba7c020111397ca814496f0ed2b814bc672e6085143a58,5c97e3239bdb1e465bb4a349726374f14eb7eaee0a5e4d3f162e430d05ec9864
ricompenso,False,ricompensare,to reward,verb,I reward,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Ricompenso chi lavora bene.,I reward those who work well.,a095d4549f0ed7a5ca4a35bf0a259f9d7961e4f59fa4e6ab5d52731027bdd85b,ed0a481d62377a474e0717a9282ac97fc4a197e5eb69222b43dfb90d0816fa21
ricompensi,False,ricompensare,to reward,verb,you reward,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Ricompensi sempre il merito.,You always reward merit.,37d18b28e9f6b0f70964332859bff91a3e7dcc855409bbe2370ac7f25ee4c7d2,8683d9e2a6566e3a00904cb67e4679c8a9450908aa189d6de0645b19d1fd567a
ricompensa,False,ricompensare,to reward,verb,he rewards/she rewards/you (formal) reward,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',L'azienda ricompensa i dipendenti.,The company rewards the employees.,5d9253c121a860155debf1ee552401d123bcff98723b61500eb9c6f9389dd89d,9d75c2e5ca9b607f8b5349853fccb8b74f8997da9f9dbc2e83d52be668f35605
ricompensiamo,False,ricompensare,to reward,verb,we reward,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Ricompensiamo i vincitori.,We reward the winners.,330e3a2fc232688dcda77c212b3bcc0ac14b78c13e518a730fa76836fe873907,36002edf4c01641dc5b18c489e1d1b694b844caf961b28a51041a32507cde562
