term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
mettere,True,mettere,to put,verb,to put,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -ere verb; past participle irregular 'messo',Voglio mettere il libro qui.,I want to put the book here.,4567b021c8a35efde2355ad7bbc9ea58930e3e92021568704d19b0b5d2774621,fd02c6659205948d0b53123619ff8e7cafcc2cd555a8a26df518f73f3bc12008
mettendo,False,mettere,to put,verb,putting,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto mettendo il libro sul tavolo.,I am putting the book on the table.,6a26fb4fb3a7b3b12e23dd6480657eaf458e2e3e3f6df49f8a359989225891e1,fed078b64095e8c7f1e3977ba5c282a58a4b20931ea971121eae369831d9dd19
messo,False,mettere,to put,verb,put,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,"past participle, irregular root, masculine singular",L'ho messo in borsa.,I put it in my bag.,d8f27d62f1d723435f2d1f70028b8439aba06e8d867f605e0f2d4454f2f2dc34,980dcd61d3f2dbafc2624ac1bb04d3ea8bb6ca5674929c4d4828958a477f8305
messa,False,mettere,to put,verb,put,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,"past participle, irregular root, feminine singular",L'ho messa sul tavolo.,I put it on the table.,63397a6c10ad3785de208381e297c178a71cfa41fb73025f0150403b8cebc7af,980dcd61d3f2dbafc2624ac1bb04d3ea8bb6ca5674929c4d4828958a477f8305
messi,False,mettere,to put,verb,put,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,"past participle, irregular root, masculine plural",Li ho messi in ordine.,I put them in order.,c19787e1799aaa3ccc3827484d14f76f81bae58f8827042b05b68cdce780c860,980dcd61d3f2dbafc2624ac1bb04d3ea8bb6ca5674929c4d4828958a477f8305
messe,False,mettere,to put,verb,put,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,"past participle, irregular root, feminine plural",Le ho messe via.,I put them away.,8b74a469800912e1a4ec42c329f0632d06fb99f72dffa8aa6c8aa53ab47c368e,980dcd61d3f2dbafc2624ac1bb04d3ea8bb6ca5674929c4d4828958a477f8305
metto,False,mettere,to put,verb,I put,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io metto il sale.,I put salt.,25546e7ebf4667570431401b52ccf38edecd1df524c991cd893445ecaa922ba1,74bc8081310e002f8ae8ec2492975ba1c86347aa076094cd79689b44774be93a
metti,False,mettere,to put,verb,you put,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu metti la giacca.,You put on the jacket.,7028984282c4275bffa23047fc5611b12ed5d8846125d960227d56d9c815acd8,743144779d74c67632ba66929066e520bdfa3b0c8377ec4c2456d61cfc08962e
mette,False,mettere,to put,verb,he puts/she puts/you (formal) put,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei mette la firma.,She signs.,84ff6378631d3d5454bc48a5ffeaf1c4f912be6db8a0bc8466daaa6088a27c47,9a1739f4e10a31f53d9851a5282bc36dd52b004cc012b64d86a079c37f6319c7
mettiamo,False,mettere,to put,verb,we put,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi mettiamo la musica.,We put on the music.,81f1f565efbff80c6a2009d4f29a33f022267eb15053c2bf115ba790f31f1f0f,a9e846dcd7821912c3bb7d0de566fbfc6a1c9bd2ca4b1c917aa4c6d71a03dadf
mettete,False,mettere,to put,verb,you (plural) put,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi mettete i piatti in tavola.,You (plural) put the plates on the table.,9e2b0742d9cfc35819d21eac28c3365803bda007c3c1588dc57024806f4fc166,68958aa12ea40e71add1a3a5b32f1257e27fa910942734404ddb9559a8f689c7
mettono,False,mettere,to put,verb,they put,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro mettono le chiavi sul tavolo.,They put the keys on the table.,722bd44e127cb8ab51489f4ed928e10bd19fdec11b68904335d9b48ce0025083,43e4611b66f42e587eb12b0b5c96c05ddfb82c1273a819b2cc99123b110863c1
mettevo,False,mettere,to put,verb,I was putting,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io mettevo sempre troppo sale.,I was always putting too much salt.,6e104ba00a285b2bafa6066d85ff4054e8923dfbf1f4e9277bbb940d5fb75887,265aeb57f372d2219c24374ed201194d2949ab4e8b147b55901467d343ed3ff0
mettevi,False,mettere,to put,verb,you were putting,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu mettevi tutto in tasca.,You were putting everything in your pocket.,dc826c86824500694a6cb3f08708089e732c1073594afa8be7d768c502c5f3ad,6032a465ecc0847ffcb6485baab23c8fb4bbccb0e7cbc1c45c59323c08a3ad73
metteva,False,mettere,to put,verb,he was putting/she was putting/you (formal) were putting,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei metteva spesso la sciarpa.,She was often putting on a scarf.,514b8340d22359ff23dda61b8b1129a8fd6a5ac765ebece91584ca177c2523fb,04f211109f7f594444553eee74732df00706714f7397b7ff211a9a97486fe6b1
mettevamo,False,mettere,to put,verb,we were putting,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi mettevamo da parte i soldi.,We were putting money aside.,3fdef146e49f92db207a3736f3308197804f5a4778f30ba4dfb4e677a63ca7e5,3457e26902937934a854dffc3f6acd93eeca869eeedea9ff06d6b88bc0edf47b
mettevate,False,mettere,to put,verb,you (plural) were putting,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi mettevate sempre gli occhiali.,You (plural) were always putting on glasses.,100147e9b86e6bd211db224381fdc9992f2d6a07a66c152a5d4f6943cca2c53a,60d6cd0698c40a8664cafcbda55ae317163177293c8d5eba7a288e3106cab27b
mettevano,False,mettere,to put,verb,they were putting,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro mettevano i libri in ordine.,They were putting the books in order.,b0c7bcb0bc7d6334c697ad5449fbd59d4b1be3418c3199c29a4d4c69cd2325ab,55ddee414acc198ecb824f58b5d1c5522822988b93f490a4496d65ba75d6b5f9
ho messo,False,mettere,to put,verb,I have put,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'messo',Ho messo il telefono in carica.,I have put the phone on charge.,56307ea241de48ae7771e48685de165c1d769fc0ae4f530918f2ea92a7534615,4c6a9b765c24a58a83bd2913b3c5c622420af0b112468e18c173145e5dcdd9ce
hai messo,False,mettere,to put,verb,you have put,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'messo',Hai messo la crema?,Have you put the cream on?,044db67a87a13d1f2611f4516e4d82a0517557e65cd6675f0884c3ff8a6e3d61,54912d438262cfe358a9096c796a3b0717460ca8961e29e74304d2929a1338ae
ha messo,False,mettere,to put,verb,he has put/she has put/you (formal) have put,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha messo la sveglia alle sette.,He has set the alarm for seven.,9bad9351d8046289335021b4b26d8c781ce4315862e875ee9fd6c6851909fac5,6631ebb510905868fe971d2e91b1d5dbfedc05bc671c6789f723bc5c213b61ba
abbiamo messo,False,mettere,to put,verb,we have put,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'messo',Abbiamo messo le valigie in macchina.,We have put the suitcases in the car.,8acb6f489141e8edba2cf0b80de7de4de40245f6a225c5fadb7f5f2d635d146b,61f215ab7fd5a2cb0dd591344eb5e39446328f7e7e8f6cca7376d1736225b246
avete messo,False,mettere,to put,verb,you (plural) have put,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'messo',Avete messo a posto la stanza.,You (plural) have put the room in order.,d50f56af2079eb508b4ebdf18ebd4d12ab32cb81a06255d146e2c55305aa02c5,3d89b5481ef3046d324015030d303062032423e9de056e3b085f3d9694a84f59
hanno messo,False,mettere,to put,verb,they have put,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'messo',Hanno messo il film su Netflix.,They have put the movie on Netflix.,82d1c86ff2a5a12fdd7de5a762da181c65d6aef92406c8a87f346990d86b7541,e99d0cf8cd11e68d9539e96a6680e1cf430066f38febfba02c144dc27a77764a
