term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
aggiungere,True,aggiungere,to add,verb,to add,Verbs & Actions,,,,,non-finite,infinitive,False,False,False,,,,,irregular past participle 'aggiunto',Voglio aggiungere una frase.,I want to add a sentence.,0c00d50540884f50498381c9db1c63a4bf7dcfbbca9019ca050b3ae59ddd1c8e,e93ceb16b39f666c1acfcb30c0f1b3f38ebc531d586b58f4b4e97464795b35f7,1104.0,1512.0,ahg-jyoon-JEH-reh
aggiungendo,False,aggiungere,to add,verb,adding,Verbs & Actions,,,,,gerund,,False,False,False,,,,,gerund form,Sto aggiungendo zucchero.,I am adding sugar.,cf2e455441fd49226a050bd95a35827987375d417c2644dea817d32a642c86d8,72a855fac097673150921a858e6dea6544b63b8714b55304fa0fc68b8a4bd6bb,1032.0,1728.0,ahg-jyoon-JEHN-doh
aggiunto,False,aggiungere,to add,verb,added,Verbs & Actions,,,masculine,singular,participle,past,False,False,False,,,,,past participle,L'ho aggiunto al documento.,I added it to the document.,b5f89c17b6f41bad2d3cfd42d627b731950a9c74f6377931ac555eabd414df7a,41112c4fb88dd3aed2a6cc401d190ba57ffe141ba7ac0f4714c775e6e7195a17,1008.0,1488.0,ahg-JYOON-toh
aggiunta,False,aggiungere,to add,verb,added,Verbs & Actions,,,feminine,singular,participle,past,False,False,False,,,,,past participle,L'ho aggiunta alla lista.,I added it to the list.,466464d7ed3924aec382f0fa0193f2a085096ff4da79125b58bb913c148aff89,41112c4fb88dd3aed2a6cc401d190ba57ffe141ba7ac0f4714c775e6e7195a17,1008.0,1488.0,ahg-JYOON-tah
aggiunti,False,aggiungere,to add,verb,added,Verbs & Actions,,,masculine,plural,participle,past,False,False,False,,,,,past participle,Li ho aggiunti alla cartella.,I added them to the folder.,21cb31d5639d6a459f25a9fc93149fb90a0aedbbcb242d702693b7f002af9b6a,41112c4fb88dd3aed2a6cc401d190ba57ffe141ba7ac0f4714c775e6e7195a17,1008.0,1488.0,ahg-JYOON-tee
aggiunte,False,aggiungere,to add,verb,added,Verbs & Actions,,,feminine,plural,participle,past,False,False,False,,,,,past participle,Le ho aggiunte alla lista.,I added them to the list.,11e49edf14bb6f542e5de1bc081c5a6f992f318f8ebdbcedd6b61b9d43ffbdf4,41112c4fb88dd3aed2a6cc401d190ba57ffe141ba7ac0f4714c775e6e7195a17,1008.0,1440.0,ahg-JYOON-teh
aggiungo,False,aggiungere,to add,verb,I add,Verbs & Actions,,1s,,singular,indicative,present,False,False,False,,,,,,Io aggiungo il sale.,I add salt.,4c8592be63f7252cda659db89e8137afa56ba5178c36b6fee4fe89e870ccf5bc,d9dde540059314e45db8a76fc88ea856f17a82a57d249b4de23dc01156de710b,1128.0,1464.0,ahg-JYOON-goh
aggiungi,False,aggiungere,to add,verb,you add,Verbs & Actions,,2s,,singular,indicative,present,False,False,False,,,,,,Tu aggiungi il tuo nome.,You add your name.,453188a2d3fdc15d20536ed038378683970a6fa57c1b2d7be0070d324f3c184a,3081fb56f9f842dba30c5797e63f377ad4ffc03cad9b56e40b4f90d697f8d4bd,1152.0,1464.0,ahg-JYOON-jee
aggiunge,False,aggiungere,to add,verb,he adds/she adds/you (formal) add,Verbs & Actions,,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei aggiunge i dettagli.,You (formal) add the details.,41538468f84c597d677aa5b7c52ed373a5dad92518c41630e60b3b9a418c58b8,5205ed42632a4e3d31bc1107cc72f58b7e88c4149ab4e5acc7d1087b6079cf39,4488.0,1464.0,ahg-JYOON-jeh
aggiungiamo,False,aggiungere,to add,verb,we add,Verbs & Actions,,1p,,plural,indicative,present,False,False,False,,,,,,Noi aggiungiamo acqua.,We add water.,0fe9a81eb713d98e27ccfa309a846c47ab41e0c247ba1f57db8e1aaf70625ba3,7a1f7699f4261e452e1512959ebe83916007d20fae4f2d2271804778d3d42da9,1152.0,1656.0,ahg-jyoon-JYAH-moh
aggiungete,False,aggiungere,to add,verb,you (plural) add,Verbs & Actions,,2p,,plural,indicative,present,False,False,False,,,,,,Voi aggiungete commenti.,You (plural) add comments.,e8dc74d2d05301ffe2b030b6d75f9f12cdcc81182baab5f106d790782e7b9ebb,838c1bb6e9ad1a59f5794e87a658f8e5df76e25ac850e0585a3e8384ed93abf8,2208.0,1656.0,ahg-jyoon-JEH-teh
aggiungono,False,aggiungere,to add,verb,they add,Verbs & Actions,,3p,,plural,indicative,present,False,False,False,,,,,,Loro aggiungono idee.,They add ideas.,eeb230e654b91a9d956b1e7d6746bbdd7445b5116f1454172e0146bde600579e,63032591e9e4ff407e82c98bebca890beea6c6688846044215acd2e3287c327f,1176.0,1584.0,ahg-jyoon-GOH-noh
aggiungevo,False,aggiungere,to add,verb,I was adding,Verbs & Actions,,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io aggiungevo sempre sale.,I was always adding salt.,473c50e3cd07301eaa8aae9243b5908f15e6ecc3897393b17f1b51839f4166e6,c6fc4726e4181ad1eedf9d3ed25165b629e11f6fae34e9845dd9500d9d55a8a1,1320.0,1656.0,ahg-jyoon-JEH-voh
aggiungevi,False,aggiungere,to add,verb,you were adding,Verbs & Actions,,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu aggiungevi poco zucchero.,You were adding a little sugar.,c29eb3108c268e68b988ed2d1024aa6d78892f015a6d3baa04b008d87ffa9eea,73cb7148f051ac11b3011bb629099b500f754f722005e7a4b9605d086b8a931e,1368.0,1632.0,ahg-jyoon-JEH-vee
aggiungeva,False,aggiungere,to add,verb,he was adding/she was adding/you (formal) were adding,Verbs & Actions,,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei aggiungeva spesso dettagli.,She was often adding details.,8f0519ecca9b4f3833ed751b51386a5c467c9c0dc9095da886f2f9bc6ae8ed07,e080fa6016a94c1e654dae9f86b76c64e1cdc0d2b14322e2418ce57f2a84b286,4992.0,1632.0,ahg-jyoon-JEH-vah
aggiungevamo,False,aggiungere,to add,verb,we were adding,Verbs & Actions,,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi aggiungevamo spezie.,We were adding spices.,6a685e9c20cd14da9a16de1f921f5a4d71a6c9f9ea47fe21e846ec75c22dcbd9,caf473ec1c5b71f733d326f7c92c033ffca2037d9bc4b7424e2626aec1f4a920,1368.0,1776.0,ahg-jyoon-jeh-VAH-moh
aggiungevate,False,aggiungere,to add,verb,you (plural) were adding,Verbs & Actions,,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi aggiungevate commenti.,You (plural) were adding comments.,8e5b99bf730052f439a9caa57e25ce2270a911dca41682fc6badfb71c7d21028,3da8fe327f8b2f8beddd33ee97b97b1bbae2e4b4494040a035c6bfdaca1947c3,2472.0,1776.0,ahg-jyoon-jeh-VAH-teh
aggiungevano,False,aggiungere,to add,verb,they were adding,Verbs & Actions,,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro aggiungevano ingredienti.,They were adding ingredients.,80a0591a9cdcabdb3dde6445d27f2d0a7e562cc9cc1f3bdf912f5bea6648c885,ac37d8a9fcf1ccd14d971f4af08d5a33ac60ba7af5c4492bc172e5d319f6745f,1368.0,1776.0,ahg-jyoon-jeh-VAH-noh
