term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
viaggiare,True,viaggiare,to travel,verb,to travel,"travel,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; used with auxiliary avere,Voglio viaggiare quest'estate.,I want to travel this summer.,veeahj-JEEAH-reh
viaggiando,False,viaggiare,to travel,verb,traveling,"travel,verb",,,,,gerund,,False,False,False,,,,,,Sto viaggiando per lavoro.,I am traveling for work.,veeahj-JEEAHN-doh
viaggiato,False,viaggiare,to travel,verb,traveled,"travel,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; agrees in gender and number when used adjectivally,Ho viaggiato molto.,I have traveled a lot.,veeahj-JEEAH-toh
viaggiata,False,viaggiare,to travel,verb,traveled,"travel,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agrees in gender and number when used adjectivally,La signora è molto viaggiata.,The lady is well traveled.,veeahj-JEEAH-tah
viaggiati,False,viaggiare,to travel,verb,traveled,"travel,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agrees in gender and number when used adjectivally,I miei amici sono molto viaggiati.,My friends are well traveled.,veeahj-JEEAH-tee
viaggiate,False,viaggiare,to travel,verb,traveled,"travel,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agrees in gender and number when used adjectivally,Le ragazze sono molto viaggiate.,The girls are well traveled.,veeahj-JEEAH-teh
viaggio,False,viaggiare,to travel,verb,I travel,"travel,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Viaggio spesso.,I travel often.,VEEAHJ-jeeoh
viaggi,False,viaggiare,to travel,verb,you travel,"travel,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu viaggi domani?,Do you travel tomorrow?,VEEAHJ-jee
viaggia,False,viaggiare,to travel,verb,he travels/she travels/you (formal) travel,"travel,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui viaggia spesso.,He travels often.,VEEAHJ-jeeah
viaggiamo,False,viaggiare,to travel,verb,we travel,"travel,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi viaggiamo insieme.,We travel together.,veeahj-JEEAH-moh
viaggiate,False,viaggiare,to travel,verb,you (plural) travel,"travel,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi viaggiate ogni estate.,You (plural) travel every summer.,veeahj-JEEAH-teh
viaggiano,False,viaggiare,to travel,verb,they travel,"travel,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro viaggiano spesso.,They travel often.,veeahj-JEEAH-noh
viaggiavo,False,viaggiare,to travel,verb,I was traveling,"travel,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Viaggiavo molto da giovane.,I traveled a lot when I was young.,veeahj-JEEAH-voh
viaggiavi,False,viaggiare,to travel,verb,you were traveling,"travel,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu viaggiavi spesso.,You used to travel often.,veeahj-JEEAH-vee
viaggiava,False,viaggiare,to travel,verb,he was traveling/she was traveling/you (formal) were traveling,"travel,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lui viaggiava prima della pandemia.,He traveled often before the pandemic.,veeahj-JEEAH-vah
viaggiavamo,False,viaggiare,to travel,verb,we were traveling,"travel,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Viaggiavamo insieme ogni anno.,We used to travel together every year.,veeahj-jeeah-VAH-moh
viaggiavate,False,viaggiare,to travel,verb,you (plural) were traveling,"travel,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi viaggiavate ogni estate.,You (plural) used to travel every summer.,veeahj-jeeah-VAH-teh
viaggiavano,False,viaggiare,to travel,verb,they were traveling,"travel,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro viaggiavano molto.,They used to travel a lot.,veeahj-jeeah-VAH-noh
ho viaggiato,False,viaggiare,to travel,verb,I have traveled,"travel,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Ho viaggiato in Europa.,I have traveled to Europe.,OH veeahj-JEEAH-toh
hai viaggiato,False,viaggiare,to travel,verb,you have traveled,"travel,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Hai viaggiato molto quest'anno?,Have you traveled a lot this year?,AHEE veeahj-JEEAH-toh
ha viaggiato,False,viaggiare,to travel,verb,he has traveled/she has traveled/you (formal) have traveled,"travel,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha viaggiato per lavoro.,He has traveled for work.,AH veeahj-JEEAH-toh
abbiamo viaggiato,False,viaggiare,to travel,verb,we have traveled,"travel,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Abbiamo viaggiato insieme.,We have traveled together.,ahb-BEEAH-moh veeahj-JEEAH-toh
avete viaggiato,False,viaggiare,to travel,verb,you (plural) have traveled,"travel,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Avete viaggiato abbastanza.,You (plural) have traveled enough.,ah-VEH-teh veeahj-JEEAH-toh
hanno viaggiato,False,viaggiare,to travel,verb,they have traveled,"travel,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Hanno viaggiato ieri.,They traveled yesterday.,AHN-noh veeahj-JEEAH-toh
